address,status,spc_latin,spc_common,boroname,latitude,longitude
560 67 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63471026,-74.01880366
80-21 62 STREET,Fair,liriodendron tulipifera,tulip tree,Queens,40.6949335,-73.89178578
121 CONNECTICUT STREET,Fair,acer saccharinum,"maple, silver",Staten Island,40.50442884,-74.25010981
9800 AVENUE L,Fair,acer saccharinum,"maple, silver",Brooklyn,40.63937592,-73.89419273
304 JEFFERSON STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.70431766,-73.92624327
787 7 AVENUE,Fair,tilia cordata,"linden, little leaf",Manhattan,40.76195511,-73.98262239
3395 NOSTRAND AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.60137816,-73.9420579
112 AINSWORTH AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.55174179,-74.13771633
83-10 35 AVENUE,Good,tilia tomentosa,"linden, silver",Queens,40.7519039,-73.88350382
38-23 222 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.76778767,-73.76209984
100 GOLD STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.71042911,-74.00391722
238-12 148 AVENUE,Good,platanus acerifolia,london planetree,Queens,40.65515899,-73.74556608
2724 HOYT AVENUE SOUTH,Good,quercus rubra,"oak, northern red",Queens,40.77188096,-73.91983229
5652 MYRTLE AVENUE,Fair,ginkgo biloba,ginkgo,Queens,40.70032164,-73.90436002
32-22 UTOPIA PARKWAY,Good,acer platanoides,"maple, norway",Queens,40.76834328,-73.79252793
923 EAST   12 STREET,Fair,prunus virginiana           shubert,"chokecherry, shubert",Brooklyn,40.62658448,-73.9644867
212-12 26 AVENUE,Poor,morus,mulberry,Queens,40.77819094,-73.77755257
90-39 143 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.70125811,-73.8114041
8528 87 STREET,Fair,betula species,"birch, other",Queens,40.69498455,-73.85794887
2602 FLATBUSH AVENUE EXTENSION,Fair,acer platanoides,"maple, norway",Brooklyn,40.69368495,-73.98333916
1341 OCEAN PARKWAY,Fair,quercus palustris,"oak, pin",Brooklyn,40.61596891,-73.96890469
88-62 242 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.72832739,-73.72558703
157-11 20 AVENUE,Fair,cornus florida,"dogwood, flowering",Queens,40.78058228,-73.80521434
31-15 DITMARS BOULEVARD,Fair,gleditsia triacanthos,honeylocust,Queens,40.77576586,-73.91015493
244 EAST   48 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.656096,-73.93281276
96-06 PITKIN AVENUE,Good,platanus acerifolia,london planetree,Queens,40.67257475,-73.84010872
209-09 104 AVENUE,Fair,acer palmatum,"maple, japanese",Queens,40.71104035,-73.74946122
133 DAVID STREET,Good,platanus acerifolia,london planetree,Staten Island,40.54117925,-74.15119383
2735 BROADWAY,Fair,malus species,crabapple,Manhattan,40.80030418,-73.96806009
1170 PENNSYLVANIA AVENUE,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.65191693,-73.88567134
83-37 264 STREET,Poor,pyrus calleryana,"pear, callery",Queens,40.73924196,-73.70504526
2660 PITKIN AVENUE,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.67510628,-73.87391859
65-70 162 STREET,Fair,quercus palustris,"oak, pin",Queens,40.73546097,-73.80663805
2334 WESTERVELT AVENUE,Fair,crataegus species,"hawthorn, other",Bronx,40.85987866,-73.8399657
715 RIVERDALE AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.66388768,-73.88924451
87-23 AVENUE B,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.648253,-73.91830153
1954 HUTCH RIVER PARKWAY EAST,Fair,pyrus calleryana,"pear, callery",Bronx,40.85090016,-73.83566058
87-78 253 STREET,Fair,picea abies,"spruce, norway",Queens,40.72878734,-73.71272612
423 WEST STREET,Good,quercus bicolor,"oak, swamp white",Manhattan,40.73507118,-74.00995183
428 EAST  117 STREET,Poor,gleditsia triacanthos,honeylocust,Manhattan,40.79634286,-73.93413033
94-20 85 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.68562292,-73.85637511
75 EAST  116 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.79962252,-73.94396216
84-80 MAIN STREET,Fair,platanus acerifolia,london planetree,Queens,40.71274893,-73.81725846
5650 HOLLIS COURT BOULEVARD,Good,tilia cordata,"linden, little leaf",Queens,40.74556901,-73.77869004
1316 DRUMGOOLE ROAD EAST,Fair,acer saccharinum,"maple, silver",Staten Island,40.53229733,-74.19792927
142-01 183 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.66920328,-73.76053371
98-60 QUEENS BOULEVARD,Poor,platanus acerifolia,london planetree,Queens,40.72787838,-73.85619023
178 BERGEN STREET,Good,populus nigra,"poplar, lombardy",Brooklyn,40.6853193,-73.98689704
205 LINCOLN ROAD,Fair,liquidambar styraciflua,sweetgum,Brooklyn,40.66126454,-73.95570965
6138 FIELDSTON ROAD,Fair,pyrus calleryana,"pear, callery",Bronx,40.91020382,-73.89943796
142 20 STREET,Fair,ginkgo biloba,ginkgo,Brooklyn,40.66388878,-73.99613598
105-27 90 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.67934369,-73.84845328
446 POILLON AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.5242161,-74.17271932
81-48 255 STREET,Fair,acer platanoides,"maple, norway",Queens,40.74111054,-73.71461086
110-17 68 ROAD,Fair,tilia cordata,"linden, little leaf",Queens,40.72707969,-73.84358226
3920 LYME AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.57701589,-74.00840916
1966 EAST   35 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.60988198,-73.93278004
521 49 STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.64528436,-74.00908441
241-19 CANEY ROAD,Poor,acer platanoides,"maple, norway",Queens,40.66148996,-73.7400885
114-40 122 STREET,Good,quercus rubra,"oak, northern red",Queens,40.67886512,-73.81752796
210 CLINTON AVENUE,Good,ginkgo biloba,ginkgo,Brooklyn,40.69197457,-73.96859158
415 PROSPECT AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.63863314,-74.10159043
24-29 MURRAY STREET,Fair,acer saccharinum,"maple, silver",Queens,40.77620583,-73.81269023
149-05 79 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.71973493,-73.81418733
13718 BEACH  138 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.59614488,-73.74712252
89-11 43 AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.74273734,-73.87647553
208-17 32 DRIVE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.77187775,-73.78199028
161-11 83 STREET,Fair,platanus acerifolia,london planetree,Queens,40.65405029,-73.84827647
767 10 AVENUE,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.76579047,-73.99099301
200-14 17 AVENUE,Fair,celtis occidentalis,hackberry,Queens,40.78237569,-73.79323889
1427 ROBERTSON PLACE,Fair,acer platanoides,"maple, norway",Bronx,40.84309297,-73.82367344
23-37 204 STREET,Fair,platanus acerifolia,london planetree,Queens,40.77685662,-73.78902798
1502 SUTTER AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.67544249,-73.85322484
71 BRIGHTON COURT,Good,quercus alba,"oak, white",Brooklyn,40.58754267,-73.96501512
195 HAROLD AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.535069,-74.1672395
1923 EAST   38 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.61182432,-73.93114291
6302 14 AVENUE,Fair,acer campestre,"maple, hedge",Brooklyn,40.62572809,-73.9982204
4078 NOSTRAND AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.58438343,-73.93883965
40-11 221 STREET,Fair,prunus species,"cherry, other",Queens,40.76563628,-73.76233856
262 WEST  136 STREET,Good,celtis occidentalis,hackberry,Manhattan,40.81667869,-73.94490157
300 EAST   76 STREET,Poor,fraxinus pennsylvanica,"ash, green",Manhattan,40.77123078,-73.95612752
570 THROOP AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.68378986,-73.94111374
243-01 NORTHERN BOULEVARD,Fair,acer platanoides,"maple, norway",Queens,40.76548475,-73.7429028
71-34 JUNO STREET,Good,acer platanoides          crimson king,"maple, norway-cr kng",Queens,40.71362788,-73.84788475
119-02 ATLANTIC AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.69410082,-73.82785032
22-59 79 STREET,Fair,quercus palustris,"oak, pin",Queens,40.76776982,-73.89041833
434 LEFFERTS AVENUE,Good,ulmus americana,"elm, american",Brooklyn,40.66259201,-73.9468635
107 HARTFORD AVENUE,Fair,aesculus hippocastanum,horsechestnut,Staten Island,40.62293938,-74.1095204
517 COURT STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.67510125,-73.99938713
175-31 UNDERHILL AVENUE,Fair,acer saccharinum,"maple, silver",Queens,40.74715428,-73.79432985
101-22 FLATLANDS AVENUE,Good,taxodium distichum,baldcypress,Brooklyn,40.64576319,-73.89739334
113 CLYMER STREET,Fair,fraxinus species,"ash, other",Brooklyn,40.70595526,-73.96459951
141-19 FARMERS BOULEVARD,Fair,zelkova serrata,"zelkova, japanese",Queens,40.67053843,-73.7651035
2037 HAZEN STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.77095648,-73.89636286
177-02 136 AVENUE,Fair,acer saccharum,"maple, sugar",Queens,40.67478605,-73.76312376
170 BEACH  145 STREET,Fair,acer platanoides,"maple, norway",Queens,40.56983595,-73.86031708
2898 VALENTINE AVENUE,Good,zelkova serrata,"zelkova, japanese",Bronx,40.87031897,-73.88849934
43-44 SMART STREET,Fair,gymnocladus dioicus,kentucky coffeetree,Queens,40.75565546,-73.81928116
74-30 64th Place,Poor,gleditsia triacanthos,honeylocust,Queens,40.69998077,-73.89139531
35 POMPEY AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.55514942,-74.17323472
145-96 222 STREET,Fair,quercus palustris,"oak, pin",Queens,40.66135072,-73.75804605
20 EAST  205 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.87560117,-73.88712726
2437 FENTON AVENUE,Good,acer palmatum,"maple, japanese",Bronx,40.86167988,-73.84448763
188-47 MANGIN AVENUE,Fair,acer saccharinum,"maple, silver",Queens,40.69954561,-73.76661338
4120 BRUNER AVENUE,Good,gleditsia triacanthos,honeylocust,Bronx,40.8928059,-73.84742771
343 EAST    5 STREET,Fair,acer saccharinum,"maple, silver",Manhattan,40.72635089,-73.98791722
8 LINCOLN AVENUE,Fair,acer platanoides,"maple, norway",Staten Island,40.58101591,-74.11176287
610 EAST   20 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.73298018,-73.97520059
5718 251 STREET,Fair,acer platanoides,"maple, norway",Queens,40.76115459,-73.72899298
32-54 79 STREET,Good,platanus acerifolia,london planetree,Queens,40.75632501,-73.8883617
11 WEIRFIELD STREET,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.68647763,-73.91566218
150-16 115 ROAD,Fair,zelkova serrata,"zelkova, japanese",Queens,40.6842844,-73.79226665
974 EAST   28 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.62733345,-73.94895582
88-34 VANDERVEER STREET,Fair,platanus acerifolia,london planetree,Queens,40.72599862,-73.75038633
192 LINCOLN AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.68542749,-73.86975616
143-94 232 STREET,Good,quercus rubra,"oak, northern red",Queens,40.66215638,-73.74597913
99-02 209 STREET,Fair,sassafras albidum,sassafras,Queens,40.71358227,-73.75084405
361 HUMBOLDT STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.71446617,-73.94266661
339 HICKSVILLE ROAD,Fair,platanus acerifolia,london planetree,Queens,40.60144423,-73.73866572
290 WOODROW ROAD,Good,tilia tomentosa,"linden, silver",Staten Island,40.55767957,-74.18072673
197 JEFFERSON AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.68337108,-73.94933477
213-25 MURDOCK AVENUE,Fair,acer saccharinum,"maple, silver",Queens,40.7032022,-73.74241806
528 BEACH  136 STREET,Fair,acer platanoides,"maple, norway",Queens,40.57835633,-73.85627098
125 EAST   72 STREET,Fair,tilia cordata,"linden, little leaf",Manhattan,40.77070891,-73.96286465
56-01 QUEENS BOULEVARD,Poor,gleditsia triacanthos,honeylocust,Queens,40.74205682,-73.90910333
112 EAST   78 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77471268,-73.9604506
6803 FT HAMILTON PARKWAY,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.62907617,-74.01153919
160-15 81 STREET,Good,acer platanoides,"maple, norway",Queens,40.65563714,-73.85064794
370 2 AVENUE,Fair,ginkgo biloba,ginkgo,Manhattan,40.73688443,-73.98162578
4391 MARTHA AVENUE,Good,fraxinus pennsylvanica,"ash, green",Bronx,40.90196831,-73.86561675
165 MC BAINE AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.54320626,-74.21271338
97-01 72 DRIVE,Fair,prunus species,"cherry, other",Queens,40.7086005,-73.84659412
31-49 69 STREET,Fair,acer platanoides,"maple, norway",Queens,40.75717936,-73.89803747
1118 INTERVALE AVENUE,Good,pyrus calleryana,"pear, callery",Bronx,40.82675698,-73.89653611
1217 EAST   66 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.62336803,-73.91729812
35-19 156 STREET,Fair,acer platanoides,"maple, norway",Queens,40.76539088,-73.80894458
1988 OCEAN PARKWAY,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.60061645,-73.96601657
1354 EAST   48 STREET,Good,acer platanoides,"maple, norway",Brooklyn,40.62769938,-73.92977558
507 WEST  159 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.83435307,-73.94166348
63 RAILY COURT,Good,acer rubrum,"maple, red",Staten Island,40.55287517,-74.20112814
228 3 AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.73656101,-73.98481211
160-68 21 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.77884122,-73.8014715
170 SERRELL AVENUE,Poor,acer rubrum,"maple, red",Staten Island,40.54698443,-74.17268102
7 KIELY PLACE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.68611683,-73.87256366
1657 NORMAN STREET,Fair,acer rubrum,"maple, red",Queens,40.69628767,-73.90209026
80-39 159 STREET,Fair,acer platanoides,"maple, norway",Queens,40.71995535,-73.80800339
82-13 37 AVENUE,Fair,malus species,crabapple,Queens,40.74976915,-73.88417163
203-33 28 AVENUE,Fair,acer ginnala,"maple, amur",Queens,40.77338976,-73.78740344
172-59 HENLEY ROAD,Fair,tilia cordata,"linden, little leaf",Queens,40.71447231,-73.78972685
114-23 178 PLACE,Fair,pyrus calleryana,"pear, callery",Queens,40.69471335,-73.77135799
1596 WARING AVENUE,Good,acer platanoides,"maple, norway",Bronx,40.86083406,-73.84014055
155-66 116 ROAD,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.68377681,-73.7878586
34-49 48 STREET,Good,zelkova serrata,"zelkova, japanese",Queens,40.75330638,-73.91475103
25-80 35 STREET,Fair,acer platanoides,"maple, norway",Queens,40.76903413,-73.91523994
255-05 75 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.74736109,-73.71601326
116-69 155 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.68229329,-73.78862047
142 BAY   53 STREET,Good,prunus species,"cherry, other",Brooklyn,40.5828729,-73.98726635
6-11 7 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.79255923,-73.82688426
3821 BRONXWOOD AVENUE,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.88230296,-73.85676028
85-35 130 STREET,Fair,acer platanoides,"maple, norway",Queens,40.70407547,-73.82252995
4303 169th Street,Fair,ginkgo biloba,ginkgo,Queens,40.75787853,-73.79771142
1118 METCALF AVENUE,Fair,tilia cordata,"linden, little leaf",Bronx,40.82762181,-73.87214811
2430 BRONXWOOD AVENUE,Poor,pinus strobus,"pine, eastern white",Bronx,40.8619186,-73.86167391
14945 15 ROAD,Fair,acer saccharinum,"maple, silver",Queens,40.78637317,-73.81489331
135-31 96 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.67378306,-73.84054924
2246 OCEAN AVENUE,Fair,prunus species,"cherry, other",Brooklyn,40.60711149,-73.95287883
871 EAST    8 STREET,Fair,tilia tomentosa,"linden, silver",Brooklyn,40.62776595,-73.96863981
127 RUGBY AVENUE,Good,acer rubrum,"maple, red",Staten Island,40.61599705,-74.09819899
133-16 83 STREET,Fair,platanus acerifolia,london planetree,Queens,40.67345944,-73.85311712
1104 WHEELER AVENUE,Poor,gleditsia triacanthos,honeylocust,Bronx,40.82637275,-73.87959754
92 LAIGHT STREET,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.72228324,-74.01128115
